showid,name,season,release_year,episode_count
70153404,Friends,Season 1,1994,24
70153404,Friends,Season 2,1995,24
70153404,Friends,Season 3,1996,25
70153404,Friends,Season 4,1997,24
70153404,Friends,Season 5,1998,24
70153404,Friends,Season 6,1999,25
70153404,Friends,Season 7,2000,24
70153404,Friends,Season 8,2001,24
70153404,Friends,Season 9,2002,22
70153404,Friends,Season 10,2003,17
70204995,InuYasha,Season 1,2000,27
70204995,InuYasha,Season 2,2001,27
70204995,InuYasha,Season 3,2002,28
70204995,InuYasha,Season 4,2003,28
70204995,InuYasha,Season 5,2003,28
70204995,InuYasha,Season 6,2004,29
70155618,Gilmore Girls,Season 1,2000,21
70155618,Gilmore Girls,Season 2,2001,22
70155618,Gilmore Girls,Season 3,2002,22
70155618,Gilmore Girls,Season 4,2003,22
70155618,Gilmore Girls,Season 5,2004,22
70155618,Gilmore Girls,Season 6,2005,22
70155618,Gilmore Girls,Season 7,2006,22
70136120,The Office (U.S.),Season 1,2005,6
70136120,The Office (U.S.),Season 2,2005,22
70136120,The Office (U.S.),Season 3,2006,23
70136120,The Office (U.S.),Season 4,2007,14
70136120,The Office (U.S.),Season 5,2008,28
70136120,The Office (U.S.),Season 6,2009,26
70136120,The Office (U.S.),Season 7,2010,26
70136120,The Office (U.S.),Season 8,2011,24
70136120,The Office (U.S.),Season 9,2012,23
70177043,Justice League,Season 1,2001,26
70143830,The Big Bang Theory,Season 1,2007,17
70143830,The Big Bang Theory,Season 2,2008,23
70143830,The Big Bang Theory,Season 3,2009,23
70143830,The Big Bang Theory,Season 4,2010,24
70143830,The Big Bang Theory,Season 5,2011,24
70143830,The Big Bang Theory,Season 6,2012,24
70143830,The Big Bang Theory,Season 7,2013,24
70143830,The Big Bang Theory,Season 8,2014,24
70143830,The Big Bang Theory,Season 9,2015,24
70143830,The Big Bang Theory,Season 10,2016,24
70143830,The Big Bang Theory,Season 11,2017,24
70143830,The Big Bang Theory,Season 12,2018,24
70143811,Gossip Girl,Season 1,2007,18
70143811,Gossip Girl,Season 2,2008,25
70143811,Gossip Girl,Season 3,2009,22
70143811,Gossip Girl,Season 4,2010,22
70143811,Gossip Girl,Season 5,2011,24
70143811,Gossip Girl,Season 6,2012,10
70204970,DEATH NOTE,Season 1,2006,37
70142394,The Fairly OddParents,Season 1,2009,20
70143836,Breaking Bad,Season 1,2008,7
70143836,Breaking Bad,Season 2,2009,13
70143836,Breaking Bad,Season 3,2010,13
70143836,Breaking Bad,Season 4,2011,13
70143836,Breaking Bad,Season 5,2012,16
70143860,The Vampire Diaries,Season 1,2009,22
70143860,The Vampire Diaries,Season 2,2010,22
70143860,The Vampire Diaries,Season 3,2011,22
70143860,The Vampire Diaries,Season 4,2012,23
70143860,The Vampire Diaries,Season 5,2013,22
70143860,The Vampire Diaries,Season 6,2014,22
70143860,The Vampire Diaries,Season 7,2015,22
70143860,The Vampire Diaries,Season 8,2016,16
70213130,Boys Over Flowers,Season 1,2009,25
81005375,Yu Yu Hakusho: Ghost Files,Season 1,1992,26
81005375,Yu Yu Hakusho: Ghost Files,Season 2,1993,40
81005375,Yu Yu Hakusho: Ghost Files,Season 3,1994,28
81005375,Yu Yu Hakusho: Ghost Files,Season 4,1995,18
70155547,SpongeBob SquarePants,Season 5,2006,20
70155547,SpongeBob SquarePants,Season 6,2007,26
70155547,SpongeBob SquarePants,Season 7,2009,24
70184207,Shameless (U.S.),Season 1,2011,12
70184207,Shameless (U.S.),Season 2,2012,12
70184207,Shameless (U.S.),Season 3,2013,12
70184207,Shameless (U.S.),Season 4,2014,12
70184207,Shameless (U.S.),Season 5,2015,12
70184207,Shameless (U.S.),Season 6,2016,12
70184207,Shameless (U.S.),Season 7,2016,12
70184207,Shameless (U.S.),Season 8,2017,12
70184207,Shameless (U.S.),Season 9,2018,14
70184207,Shameless (U.S.),Season 10,2019,12
70184207,Shameless (U.S.),Season 11,2020,12
70180051,H2O: Just Add Water,Season 1,2006,26
70195800,Suits,Season 1,2011,12
70195800,Suits,Season 2,2012,16
70195800,Suits,Season 3,2013,16
70195800,Suits,Season 4,2014,16
70195800,Suits,Season 5,2015,16
70195800,Suits,Season 6,2016,16
70195800,Suits,Season 7,2017,16
70195800,Suits,Season 8,2018,16
70195800,Suits,Season 9,2019,10
70215459,Secret Garden,Season 1,2010,20
70241425,Adventure Time,Season 1,2010,13
70241425,Adventure Time,Season 2,2011,13
70241425,Adventure Time,Season 3,2011,13
70241425,Adventure Time,Season 4,2012,13
70244998,Dream High,Season 1,2011,16
70171947,Scooby-Doo!: Mystery Incorporated,Season 1,2010,26
70155571,Ben 10,Season 1,2005,13
70155571,Ben 10,Season 2,2006,13
70155571,Ben 10,Season 3,2007,13
70269018,The Powerpuff Girls,Season 1,1998,13
70269018,The Powerpuff Girls,Season 2,1999,13
70153388,Keeping Up with the Kardashians,Season 11,2015,13
70153388,Keeping Up with the Kardashians,Season 12,2016,21
70153388,Keeping Up with the Kardashians,Season 13,2017,14
70301870,Vikings,Season 1,2013,9
70301870,Vikings,Season 2,2014,10
70301870,Vikings,Season 3,2015,10
70301870,Vikings,Season 4,2016,20
70301870,Vikings,Season 5,2017,20
70301870,Vikings,Season 6,2019,20
70281312,The Blacklist,Season 1,2013,22
70281312,The Blacklist,Season 2,2014,22
70281312,The Blacklist,Season 3,2015,23
70281312,The Blacklist,Season 4,2016,22
70281312,The Blacklist,Season 5,2017,22
70281312,The Blacklist,Season 6,2019,22
70281312,The Blacklist,Season 7,2019,19
70281312,The Blacklist,Season 8,2020,22
70281312,The Blacklist,Season 9,2021,22
70281312,The Blacklist,Season 10,2023,22
70294800,Barbie Life in the Dreamhouse,Season 1,2012,12
70300472,Hunter X Hunter (2011),Season 1,2011,26
70300472,Hunter X Hunter (2011),Season 2,2012,12
70300472,Hunter X Hunter (2011),Season 3,2012,20
70300472,Hunter X Hunter (2011),Season 4,2012,17
70300472,Hunter X Hunter (2011),Season 5,2013,61
70300472,Hunter X Hunter (2011),Season 6,2014,12
70303287,Autumn's Concerto,Season 1,2009,34
80000603,Naruto Shippuden,Season 1,2007,32
80000603,Naruto Shippuden,Season 2,2007,21
80000603,Naruto Shippuden,Season 3,2008,18
80000603,Naruto Shippuden,Season 4,2008,17
80000603,Naruto Shippuden,Season 5,2008,24
80000603,Naruto Shippuden,Season 6,2009,31
80000603,Naruto Shippuden,Season 7,2010,8
80000603,Naruto Shippuden,Season 8,2011,24
80000603,Naruto Shippuden,Season 9,2012,21
80000603,Naruto Shippuden,Season 10,2013,25
80000603,Naruto Shippuden,Season 11,2017,21
80000603,Naruto Shippuden,Season 12,2012,33
80000603,Naruto Shippuden,Season 13,2012,20
80000603,Naruto Shippuden,Season 14,2013,25
80000603,Naruto Shippuden,Season 15,2013,28
80000603,Naruto Shippuden,Season 16,2014,13
80000603,Naruto Shippuden,Season 17,2014,11
80000603,Naruto Shippuden,Season 18,2014,21
80000603,Naruto Shippuden,Season 19,2015,20
80000603,Naruto Shippuden,Season 20,2015,66
80000603,Naruto Shippuden,Season 21,2016,21
70281562,Brooklyn Nine-Nine,Season 1,2013,22
70281562,Brooklyn Nine-Nine,Season 2,2014,23
70281562,Brooklyn Nine-Nine,Season 3,2015,23
70281562,Brooklyn Nine-Nine,Season 4,2016,22
70281562,Brooklyn Nine-Nine,Season 5,2017,22
70281562,Brooklyn Nine-Nine,Season 6,2019,18
70281562,Brooklyn Nine-Nine,Season 7,2020,13
70281562,Brooklyn Nine-Nine,Season 8,2021,10
70243420,The Amazing World of Gumball,Season 1,2011,18
70243420,The Amazing World of Gumball,Season 2,2012,20
80014749,Rick and Morty,Season 1,2013,11
80014749,Rick and Morty,Season 2,2015,10
80014749,Rick and Morty,Season 3,2017,10
80014749,Rick and Morty,Season 4,2019,10
80014749,Rick and Morty,Season 5,2021,10
80014749,Rick and Morty,Season 6,2022,10
80014749,Rick and Morty,Season 7,2023,10
80025494,Peppa Pig,Season 1,2004,13
80025494,Peppa Pig,Season 2,2006,13
80025494,Peppa Pig,Season 3,2009,6
80025494,Peppa Pig,Season 4,2010,7
80025494,Peppa Pig,Season 5,2011,7
80025494,Peppa Pig,Season 6,2019,7
80025923,El Cartel,Season 1,2008,57
80026226,PAW Patrol,Season 3,2015,26
80026226,PAW Patrol,Season 4,2017,26
80031716,Good Doctor,Season 1,2013,20
80047032,Pasión de Gavilanes,Season 1,2003,188
80047032,Pasión de Gavilanes,Season 2,2022,82
80061132,Superstore,Season 1,2016,11
80061132,Superstore,Season 2,2016,22
80061132,Superstore,Season 3,2017,22
80061132,Superstore,Season 4,2018,22
80061132,Superstore,Season 5,2019,21
80061132,Superstore,Season 6,2020,15
80071084,The Glamorous Imperial Concubine,Season 1,2011,42
80081705,Iris,Season 1,2009,20
80087932,Preacher,Season 1,2016,10
80087932,Preacher,Season 2,2017,13
80087932,Preacher,Season 3,2018,10
80087932,Preacher,Season 4,2023,10
70309073,Ushio & Tora,Season 1,2015,39
70285581,Outlander,Season 1,2014,16
70285581,Outlander,Season 2,2016,13
70285581,Outlander,Season 3,2017,13
70285581,Outlander,Season 4,2018,13
70285581,Outlander,Season 5,2020,12
70285581,Outlander,Season 6,2022,8
70285581,Outlander,Season 7,2023,8
80107369,Queen of the South,Season 1,2016,13
80107369,Queen of the South,Season 2,2017,13
80107369,Queen of the South,Season 3,2018,13
80107369,Queen of the South,Season 4,2014,13
80107369,Queen of the South,Season 5,2021,10
80107103,ONE PIECE,Season 1,2024,3
80111917,Love You,Season 1,2011,30
80117291,One-Punch Man,Season 1,2015,12
80117291,One-Punch Man,Season 2,2019,12
80119382,Servant of the People,Season 1,2015,23
80119382,Servant of the People,Season 2,2016,23
80119382,Servant of the People,Season 3,2016,3
80123798,Descendants of the Sun,Season 1,2016,16
80063153,Kuroko's Basketball,Season 1,2012,26
80063153,Kuroko's Basketball,Season 2,2013,26
80063153,Kuroko's Basketball,Season 3,2015,26
80173623,Somewhere Between,Season 1,2017,10
80176234,Black Money Love,Season 1,2014,164
80176893,The Good Doctor,Season 1,2017,18
80176893,The Good Doctor,Season 2,2018,18
80176893,The Good Doctor,Season 3,2019,20
80176893,The Good Doctor,Season 4,2020,20
80176893,The Good Doctor,Season 5,2021,18
80176893,The Good Doctor,Season 6,2022,22
80177458,Snowpiercer,Season 1,2020,10
80177458,Snowpiercer,Season 2,2021,10
80177458,Snowpiercer,Season 3,2022,10
80175802,The Sinner,Season 1: Cora,2017,8
80175802,The Sinner,Season 2: Julian,2018,8
80175802,The Sinner,Season 3: Jamie,2020,8
80175802,The Sinner,Season 4: Percy,2021,8
80177342,Good Girls,Season 1,2018,10
80177342,Good Girls,Season 2,2019,13
80177342,Good Girls,Season 3,2020,11
80177342,Good Girls,Season 4,2021,16
80178687,Black Lightning,Season 1,2018,13
80178687,Black Lightning,Season 2,2018,16
80178687,Black Lightning,Season 3,2019,16
80178687,Black Lightning,Season 4,2021,13
80179394,Dynasty,Season 1,2017,22
80179394,Dynasty,Season 2,2018,22
80179394,Dynasty,Season 3,2019,20
80179394,Dynasty,Season 4,2021,22
80179394,Dynasty,Season 5,2021,22
80187302,Stranger,Season 1,2017,16
80187302,Stranger,Season 2,2020,16
80188471,She was pretty,Season 1,2015,16
80188351,Reply 1988,Season 1,2015,20
80188354,Oh My Venus,Season 1,2015,16
80191008,Parasyte: The Maxim,Season 1,2014,24
80192612,Young Sheldon,Season 1,2017,22
80192612,Young Sheldon,Season 2,2018,22
80192612,Young Sheldon,Season 3,2019,21
80192612,Young Sheldon,Season 4,2020,18
80198001,Strong Girl Bong-soon,Season 1,2017,16
80211787,Strongest Deliveryman,Season 1,2017,16
80214405,A Korean Odyssey,Season 1,2017,20
80214406,Prison Playbook,Season 1,2017,16
80218200,Titans,Season 1,2018,11
80218200,Titans,Season 2,2019,13
80218200,Titans,Season 3,2021,13
80218200,Titans,Season 4,2023,12
80133311,Riverdale,Season 1,2017,13
80133311,Riverdale,Season 2,2017,22
80133311,Riverdale,Season 3,2018,22
80133311,Riverdale,Season 4,2019,19
80133311,Riverdale,Season 5,2021,19
80133311,Riverdale,Season 6,2021,22
80133311,Riverdale,Season 7,2023,20
80238738,Yellowstone,Season 1,2018,9
80238738,Yellowstone,Season 2,2019,10
80238738,Yellowstone,Season 3,2020,10
80021955,Better Call Saul,Season 1,2015,10
80021955,Better Call Saul,Season 2,2016,10
80021955,Better Call Saul,Season 3,2017,10
80021955,Better Call Saul,Season 4,2018,10
80021955,Better Call Saul,Season 5,2020,10
80021955,Better Call Saul,Season 6,2022,13
80986896,Love in the Moonlight,Season 1,2016,18
80995578,Hajime no Ippo: The Fighting!,Season 1,2001,76
80998941,Dr. Romantic,Season 1,2016,21
80998941,Dr. Romantic,Season 2,2020,16
80998943,Beautiful Gong Shim,Season 1,2016,20
80999059,Birth of a Beauty,Season 1,2014,21
80999060,Pinocchio,Season 1,2014,20
81012510,Guardian: The Lonely and Great God,Season 1,2016,16
81012551,The Legend of the Blue Sea,Season 1,2016,20
80241181,New Amsterdam,Season 1,2018,22
80241181,New Amsterdam,Season 2,2019,18
80241181,New Amsterdam,Season 3,2021,14
81025403,The Inmate,Season 1,2018,13
81028712,That Time I Got Reincarnated as a Slime,Season 1,2018,24
81028712,That Time I Got Reincarnated as a Slime,Season 2,2021,24
81028712,That Time I Got Reincarnated as a Slime,Visions of Coleus,2023,3
81029905,Misty,Season 1,2018,16
81029990,Beauty Inside,Season 1,2018,16
81030008,Clean With Passion For Now,Season 1,2018,16
81030026,My ID is Gangnam Beauty,Season 1,2018,16
81030062,SKY Castle,Season 1,2018,20
81030241,What's Wrong with Secretary Kim,Season 1,2018,16
81033645,My Sassy Girl,Season 1,2017,16
81028895,Arthdal Chronicles,Season 1,2019,18
70187741,RuPaul's Drag Race,Season 12,2020,14
70187741,RuPaul's Drag Race,Season 13,2021,16
81040957,RuPaul’s Drag Race: All Stars,Season 5,2020,8
81040957,RuPaul’s Drag Race: All Stars,Season 6,2021,12
80113701,The Good Place,Season 1,2016,13
80113701,The Good Place,Season 2,2017,12
80113701,The Good Place,Season 3,2018,12
80113701,The Good Place,Season 4,2019,13
70177057,The Walking Dead,Season 1,2010,6
70177057,The Walking Dead,Season 2,2011,13
70177057,The Walking Dead,Season 3,2012,16
70177057,The Walking Dead,Season 4,2013,16
70177057,The Walking Dead,Season 5,2014,16
70177057,The Walking Dead,Season 6,2015,16
70177057,The Walking Dead,Season 7,2016,16
70177057,The Walking Dead,Season 8,2017,16
70177057,The Walking Dead,Season 9,2018,16
70177057,The Walking Dead,Season 10,2019,22
70177057,The Walking Dead,Season 11,2021,24
81080523,Boruto: Naruto Next Generations,Academy Entrance,2017,15
81080523,Boruto: Naruto Next Generations,Sarada Uchiha,2017,9
81080523,Boruto: Naruto Next Generations,Field Trip,2017,8
81080523,Boruto: Naruto Next Generations,Academy Graduation,2017,7
81080523,Boruto: Naruto Next Generations,Byakuya Gang,2018,11
81080523,Boruto: Naruto Next Generations,Chunin Exam,2018,20
81080523,Boruto: Naruto Next Generations,Mitsuki's Disappearance,2017,22
81080523,Boruto: Naruto Next Generations,Naruto Shinden,2017,13
81080523,Boruto: Naruto Next Generations,Konoha Shinden: The Steam Ninja Scrolls,2017,10
81080523,Boruto: Naruto Next Generations,Time Slip,2017,21
81080523,Boruto: Naruto Next Generations,Mujina Gang,2017,20
81091393,Demon Slayer: Kimetsu no Yaiba,"Tanjiro Kamado, Unwavering Resolve Arc",2019,26
81091393,Demon Slayer: Kimetsu no Yaiba,Mugen Train Arc,2021,7
